Week	Cohort	Gag1	Gag2	Gag3	Gag4	Gag5	Gag6	Gag7	Gag8	Gag9	Gag10
-1	rAAV-gag	9	0	8	3	13	0	16	5	0	4
-1	rAAV-gag-IL-12	0	1	6	2	10	0	13	9	2	2
-1	rAAV-gag-IL-2	-6	2	-1	4	-1	0	9	1	0	-2
2	rAAV-gag	0	0	1	0	0	0	2	0	0	1
2	rAAV-gag-IL-12	1	1	0	-1	0	-1	-1	-1	-1	0
2	rAAV-gag-IL-2	1	5	0	5	3	6	12	0	0	-1
4	rAAV-gag	0	33	13	50	3	41	16	20	4	21
4	rAAV-gag-IL-12	0	-5	22	-1	-8	0	-3	-8	-7	1
4	rAAV-gag-IL-2	-4	21	-5	3	-9	35	-1	-9	-11	-8
8	rAAV-gag	12	41	25	75	6	30	21	15	32	60
8	rAAV-gag-IL-12	0	17	43	65	12	34	17	4	15	112
8	rAAV-gag-IL-2	1	20	2	22	9	26	14	4	38	3
12	rAAV-gag	12	30	29	61	9	25	18	11	36	2
12	rAAV-gag-IL-12	9	15	14	49	13	68	23	3	15	0
12	rAAV-gag-IL-2	0	7	1	7	3	6	5	1	0	0
16	rAAV-gag	6	18	19	24	4	12	7	7	5	2
16	rAAV-gag-IL-12	4	9	6	18	5	27	4	0	0	0
16	rAAV-gag-IL-2	0	7	0	4	0	6	4	1	1	3
20	rAAV-gag	5	18	16	21	4	16	8	7	3	1
20	rAAV-gag-IL-12	4	7	4	14	2	27	7	1	0	-3
20	rAAV-gag-IL-2	5	7	6	12	13	15	15	2	1	-2
28	rAAV-gag	6	21	11	15	7	12	12	13	1	-1
28	rAAV-gag-IL-12	1	4	4	13	2	17	3	0	-4	2
28	rAAV-gag-IL-2	4	10	9	18	10	12	20	8	7	8
39	rAAV-gag	0	4	9	15	7	10	12	6	2	5
39	rAAV-gag-IL-12	2	1	2	7	4	14	3	6	3	0
39	rAAV-gag-IL-2	-3	2	-4	1	1	0	5	0	1	2
41	rAAV-gag	-4	31	29	25	-2	36	0	2	-3	-6
41	rAAV-gag-IL-12	-1	27	5	12	0	52	0	-1	2	-1
41	rAAV-gag-IL-2	5	54	38	66	9	54	20	10	8	-4
43	rAAV-gag	12	55	36	67	12	33	28	32	17	6
43	rAAV-gag-IL-12	0	8	2	45	4	28	17	1	-1	0
43	rAAV-gag-IL-2	17	45	13	73	23	53	43	20	17	7
